"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.883980000E-1	-2.179467773E-1	-2.694396973E-2	9.753267975E0	9.755740001E0
6.983760000E-1	-2.107617188E-1	-2.604583740E-2	9.739496613E0	9.741811595E0
7.083530000E-1	-2.089654541E-1	-2.694396973E-2	9.753118286E0	9.755393833E0
7.183300000E-1	-2.160008240E-1	-2.859054565E-2	9.759405212E0	9.761837116E0
7.283070000E-1	-2.227368164E-1	-3.023712158E-2	9.769584045E0	9.772169585E0
7.382830000E-1	-2.198927307E-1	-3.472778320E-2	9.762698364E0	9.765236207E0
7.482600000E-1	-2.188449097E-1	-3.577560425E-2	9.756710815E0	9.759230447E0
7.582380000E-1	-2.124082947E-1	-2.439926147E-2	9.748927002E0	9.751271214E0
7.682150000E-1	-2.080673218E-1	-2.963836670E-2	9.748178558E0	9.750443869E0
7.781930000E-1	-2.124082947E-1	-1.841171265E-2	9.752818909E0	9.755149048E0
7.881690000E-1	-2.168989563E-1	-2.380050659E-2	9.754465485E0	9.756905683E0
7.981460000E-1	-2.070195007E-1	-2.544708252E-2	9.768985291E0	9.771211708E0
8.081230000E-1	-2.148033142E-1	-8.382568359E-3	9.776020660E0	9.778383848E0
8.180990000E-1	-2.170486450E-1	-2.634521484E-2	9.762698364E0	9.765146365E0
8.280770000E-1	-2.163002014E-1	-3.113525391E-2	9.769284668E0	9.771728512E0
8.380532500E-1	-2.185455322E-1	-3.218307495E-2	9.755812683E0	9.758313328E0
8.480302500E-1	-2.212399292E-1	-2.859054565E-2	9.752818909E0	9.755369864E0
8.580072500E-1	-2.242337036E-1	-2.290237427E-2	9.756860504E0	9.759463723E0
8.679842500E-1	-2.257305908E-1	-2.484832764E-2	9.772278442E0	9.774916762E0
8.779612500E-1	-2.242337036E-1	-3.502716064E-2	9.779164124E0	9.781797310E0
8.879382500E-1	-2.345622253E-1	-2.604583740E-2	9.764794006E0	9.767645561E0
8.979152500E-1	-2.317181396E-1	-1.362167358E-2	9.765692139E0	9.768450327E0
9.078922500E-1	-2.368075562E-1	-2.963836670E-2	9.778265991E0	9.781177948E0
9.178682500E-1	-2.393522644E-1	-3.248245239E-2	9.774523773E0	9.777507842E0
9.278452500E-1	-2.490820312E-1	-3.517684937E-2	9.777816925E0	9.781052249E0
9.378222500E-1	-2.405497742E-1	-4.011657715E-2	9.779912567E0	9.782952691E0
9.477992500E-1	-2.302212524E-1	-2.799179077E-2	9.786498871E0	9.789246422E0
9.577762500E-1	-2.405497742E-1	-2.604583740E-2	9.787097626E0	9.790087973E0
9.677532500E-1	-2.412982178E-1	-3.382965088E-2	9.782606964E0	9.785640924E0
9.777292500E-1	-2.381547546E-1	-2.739303589E-2	9.771230621E0	9.774170856E0
9.877062500E-1	-2.414479065E-1	-2.978805542E-2	9.776469727E0	9.779496139E0
9.976832500E-1	-2.514770508E-1	-3.382965088E-2	9.777667236E0	9.780959142E0
1.007660250E0	-2.429447937E-1	-3.173400879E-2	9.786798248E0	9.789864615E0
1.017636250E0	-2.453398132E-1	-3.622467041E-2	9.775122528E0	9.778267960E0
1.027613250E0	-2.369572449E-1	-2.110610962E-2	9.777218170E0	9.780111929E0
1.037590250E0	-2.303709412E-1	-2.469863892E-2	9.771979065E0	9.774725349E0
1.047567250E0	-2.389031982E-1	-3.667373657E-2	9.768236847E0	9.771226678E0
1.057543250E0	-2.371069336E-1	-2.679428101E-2	9.779463501E0	9.782374149E0
1.067519250E0	-2.279759216E-1	-2.604583740E-2	9.778715057E0	9.781406830E0
1.077495250E0	-2.345622253E-1	-3.218307495E-2	9.776619415E0	9.779485793E0
1.087472250E0	-2.269281006E-1	-2.769241333E-2	9.777667236E0	9.780339453E0
1.097448250E0	-2.248324585E-1	-2.649490356E-2	9.773026886E0	9.775648630E0
1.107424250E0	-2.216889954E-1	-2.709365845E-2	9.784103851E0	9.786652556E0
1.117401250E0	-2.288740540E-1	-3.233276367E-2	9.782756653E0	9.785487033E0
1.127378250E0	-2.282752991E-1	-3.367996216E-2	9.768985291E0	9.771710063E0
1.137354250E0	-2.260299683E-1	-3.802093506E-2	9.759105835E0	9.761797060E0
1.147330250E0	-2.213896179E-1	-3.876937866E-2	9.762249298E0	9.764836291E0
1.157308250E0	-2.177970886E-1	-3.293151855E-2	9.762997742E0	9.765482321E0
1.167285250E0	-2.191442871E-1	-2.170486450E-2	9.765692139E0	9.768174766E0
1.177262250E0	-2.110610962E-1	-2.155517578E-2	9.769434357E0	9.771737771E0
1.187238250E0	-2.127076721E-1	-2.499801636E-2	9.773326263E0	9.775672647E0
1.197214250E0	-2.061213684E-1	-3.323089600E-2	9.758058014E0	9.760291313E0
1.207190250E0	-2.037263489E-1	-3.757186890E-2	9.756112061E0	9.758311258E0
1.217167250E0	-2.095642090E-1	-2.125579834E-2	9.764195251E0	9.766467011E0
1.227142250E0	-2.119592285E-1	-3.023712158E-2	9.764494629E0	9.766841678E0
1.237118250E0	-2.032772827E-1	-3.338058472E-2	9.757608948E0	9.759783209E0
1.247094250E0	-2.097138977E-1	-3.203338623E-2	9.762848053E0	9.765152746E0
1.257071250E0	-2.100132751E-1	-1.706451416E-2	9.749226379E0	9.751503052E0
1.267047250E0	-2.053729248E-1	-2.769241333E-2	9.746981049E0	9.749183785E0
1.277024250E0	-2.083666992E-1	-2.589614868E-2	9.757159882E0	9.759418848E0
1.287001250E0	-2.165995789E-1	-3.891906738E-2	9.771529999E0	9.774007806E0
1.296977250E0	-2.174977112E-1	-3.487747192E-2	9.773026886E0	9.775509000E0
1.306953250E0	-2.151026917E-1	-3.173400879E-2	9.772727509E0	9.775145992E0
1.316930250E0	-2.148033142E-1	-2.514770508E-2	9.758507080E0	9.760903304E0
1.326907250E0	-2.257305908E-1	-2.829116821E-2	9.760303345E0	9.762954270E0
1.336883250E0	-2.180964661E-1	-3.382965088E-2	9.757608948E0	9.760104656E0
1.346860250E0	-2.176473999E-1	-2.769241333E-2	9.769134979E0	9.771598411E0
1.356837250E0	-2.270777893E-1	-2.065704346E-2	9.778415680E0	9.781073778E0
1.366814250E0	-2.324665833E-1	-2.604583740E-2	9.763446808E0	9.766248649E0
1.376791250E0	-2.281256104E-1	-3.233276367E-2	9.765243073E0	9.767960840E0
1.386769250E0	-2.336640930E-1	-3.517684937E-2	9.771679688E0	9.774536318E0
1.396746250E0	-2.408491516E-1	-3.293151855E-2	9.762099609E0	9.765125784E0
1.406723250E0	-2.362088013E-1	-3.397933960E-2	9.757459259E0	9.760377062E0
1.416699250E0	-2.341131592E-1	-3.008743286E-2	9.770033112E0	9.772883977E0
1.426676250E0	-2.356100464E-1	-3.053649902E-2	9.773925018E0	9.776812100E0
1.436652250E0	-2.387535095E-1	-3.038681030E-2	9.775571594E0	9.778533969E0
1.446629250E0	-2.435435486E-1	-1.841171265E-2	9.772128754E0	9.775180450E0
1.456606250E0	-2.475851440E-1	-2.350112915E-2	9.773326263E0	9.776490012E0
1.466583250E0	-2.378553772E-1	-3.203338623E-2	9.758956146E0	9.761906903E0
1.476560250E0	-2.462379456E-1	-3.173400879E-2	9.762848053E0	9.766004417E0
1.486537250E0	-2.502795410E-1	-3.517684937E-2	9.766440582E0	9.769710278E0
1.496514250E0	-2.398013306E-1	-3.832031250E-2	9.781409454E0	9.784423541E0
1.506490250E0	-2.395019531E-1	-2.559677124E-2	9.782008209E0	9.784973224E0
1.516467250E0	-2.411485291E-1	-2.544708252E-2	9.773625641E0	9.776633282E0
1.526443250E0	-2.426454163E-1	-2.888992310E-2	9.782457275E0	9.785508764E0
1.536420250E0	-2.405497742E-1	-2.888992310E-2	9.776769104E0	9.779770597E0
1.546397250E0	-2.383044434E-1	-3.038681030E-2	9.765392761E0	9.768347258E0
1.556373250E0	-2.333647156E-1	-2.454895020E-2	9.773026886E0	9.775843506E0
1.566350250E0	-2.321672058E-1	-2.844085693E-2	9.769584045E0	9.772383686E0
1.576326250E0	-2.359094238E-1	-2.604583740E-2	9.770332489E0	9.773214854E0
1.586303250E0	-2.323168945E-1	-3.143463135E-2	9.776619415E0	9.779429762E0
1.596279250E0	-2.366578674E-1	-3.233276367E-2	9.774523773E0	9.777441759E0
1.606256250E0	-2.390528870E-1	-3.442840576E-2	9.776918793E0	9.779901466E0
1.616233250E0	-2.249821472E-1	-2.619552612E-2	9.765243073E0	9.767869544E0
1.626209250E0	-2.204914856E-1	-2.469863892E-2	9.758956146E0	9.761477940E0
1.636186250E0	-2.204914856E-1	-2.933898926E-2	9.769584045E0	9.772115927E0
1.646163250E0	-2.204914856E-1	-2.814147949E-2	9.765093384E0	9.767622906E0
1.656140250E0	-2.201921082E-1	-2.230361938E-2	9.773775330E0	9.776280796E0
1.666116250E0	-2.189945984E-1	-2.469863892E-2	9.779613190E0	9.782096033E0
1.676092250E0	-2.152523804E-1	-3.367996216E-2	9.767189026E0	9.769618692E0
1.686069250E0	-2.163002014E-1	-2.754272461E-2	9.777367859E0	9.779798905E0
1.696045250E0	-2.134561157E-1	-2.020797729E-2	9.782008209E0	9.784357745E0
1.706021250E0	-2.145039368E-1	-2.409988403E-2	9.759854279E0	9.762240946E0
1.715998250E0	-2.136058044E-1	-2.649490356E-2	9.766889648E0	9.769261120E0
1.725975250E0	-2.070195007E-1	-2.380050659E-2	9.771230621E0	9.773452378E0
1.735951250E0	-2.106120300E-1	-2.724334717E-2	9.755812683E0	9.758123833E0
1.745928250E0	-2.110610962E-1	-4.116439819E-2	9.772428131E0	9.774793751E0
1.755904250E0	-2.140548706E-1	-3.427871704E-2	9.763147430E0	9.765553864E0
1.765880250E0	-2.157014465E-1	-2.634521484E-2	9.755513306E0	9.757933236E0
1.775856250E0	-2.121089172E-1	-3.098556519E-2	9.773176575E0	9.775527129E0
1.785832250E0	-2.151026917E-1	-4.640350342E-2	9.769883423E0	9.772361258E0
1.795808250E0	-2.146536255E-1	-2.454895020E-2	9.765093384E0	9.767483178E0
1.805784250E0	-2.161505127E-1	-3.637435913E-2	9.770931244E0	9.773389459E0
1.815760250E0	-2.165995789E-1	-3.068618774E-2	9.775421906E0	9.777869423E0
1.825736250E0	-2.194436646E-1	-2.574645996E-2	9.782008209E0	9.784503207E0
1.835716417E0	-2.219883728E-1	-2.679428101E-2	9.767937469E0	9.770496363E0
1.845692417E0	-2.276765442E-1	-1.736389160E-2	9.757758636E0	9.760429894E0
1.855668417E0	-2.246827698E-1	-3.427871704E-2	9.763297119E0	9.765942249E0
1.865645417E0	-2.188449097E-1	-3.353027344E-2	9.765392761E0	9.767902188E0
1.875621417E0	-2.207908630E-1	-2.948867798E-2	9.770781555E0	9.773320336E0
1.885598417E0	-2.231858826E-1	-2.799179077E-2	9.771829376E0	9.774417877E0
1.895574417E0	-2.257305908E-1	-3.248245239E-2	9.769434357E0	9.772095838E0
1.905550417E0	-2.281256104E-1	-2.874023438E-2	9.769284668E0	9.771990085E0
1.915527417E0	-2.384541321E-1	-2.918930054E-2	9.764195251E0	9.767150111E0
1.925504417E0	-2.282752991E-1	-2.918930054E-2	9.765692139E0	9.768403379E0
1.935481417E0	-2.306703186E-1	-3.727249146E-2	9.767189026E0	9.769983598E0
1.945457417E0	-2.387535095E-1	-3.772155762E-2	9.766440582E0	9.769431294E0
1.955434417E0	-2.366578674E-1	-2.963836670E-2	9.760902100E0	9.763815605E0
1.965410417E0	-2.348616028E-1	-2.664459229E-2	9.755962372E0	9.758825324E0
1.975386417E0	-2.398013306E-1	-2.574645996E-2	9.767039337E0	9.770016631E0
1.985362417E0	-2.390528870E-1	-3.502716064E-2	9.773475952E0	9.776461802E0
1.995338417E0	-2.374063110E-1	-3.323089600E-2	9.766141205E0	9.769082868E0
2.005315417E0	-2.311193848E-1	-2.993774414E-2	9.773475952E0	9.776254120E0
2.015291417E0	-2.371069336E-1	-3.502716064E-2	9.773925018E0	9.776863345E0
2.025268417E0	-2.317181396E-1	-2.380050659E-2	9.764943695E0	9.767721594E0
2.035245417E0	-2.288740540E-1	-3.008743286E-2	9.775272217E0	9.777997520E0
2.045221417E0	-2.378553772E-1	-3.577560425E-2	9.755962372E0	9.758927035E0
2.055197417E0	-2.357597351E-1	-2.709365845E-2	9.768835602E0	9.771717645E0
2.065174417E0	-2.405497742E-1	-3.353027344E-2	9.772128754E0	9.775146487E0
2.075150417E0	-2.362088013E-1	-3.562591553E-2	9.768685913E0	9.771606228E0
2.085127417E0	-2.372566223E-1	-3.981719971E-2	9.771979065E0	9.774939947E0
2.095104417E0	-2.329156494E-1	-2.948867798E-2	9.766590271E0	9.769411692E0
2.105080417E0	-2.372566223E-1	-3.367996216E-2	9.766290894E0	9.769230413E0
2.115057417E0	-2.294728088E-1	-3.832031250E-2	9.775421906E0	9.778189999E0
2.125033417E0	-2.266287231E-1	-3.427871704E-2	9.766739960E0	9.769429106E0
2.135009417E0	-2.321672058E-1	-2.245330811E-2	9.779313812E0	9.782095093E0
2.144986417E0	-2.231858826E-1	-2.275268555E-2	9.777966614E0	9.780539899E0
2.154962417E0	-2.299218750E-1	-3.667373657E-2	9.775870972E0	9.778643172E0
2.164939417E0	-2.225871277E-1	-2.844085693E-2	9.764494629E0	9.767072707E0
2.174916417E0	-2.264790344E-1	-3.308120728E-2	9.773775330E0	9.776454946E0
2.184893417E0	-2.252815247E-1	-3.068618774E-2	9.768087158E0	9.770732835E0
2.194869417E0	-2.234852600E-1	-2.529739380E-2	9.771979065E0	9.774567022E0
2.204846417E0	-2.219883728E-1	-2.604583740E-2	9.775721283E0	9.778276117E0
2.214823417E0	-2.278262329E-1	-2.814147949E-2	9.782008209E0	9.784701393E0
2.224800417E0	-2.257305908E-1	-2.799179077E-2	9.780661011E0	9.783305558E0
2.234777417E0	-2.267784119E-1	-2.769241333E-2	9.773026886E0	9.775696898E0
2.244754417E0	-2.219883728E-1	-2.799179077E-2	9.782157898E0	9.784716425E0
2.254731417E0	-2.207908630E-1	-2.888992310E-2	9.765243073E0	9.767781503E0
2.264707417E0	-2.186952209E-1	-2.544708252E-2	9.779313812E0	9.781791952E0
2.274684417E0	-2.236349487E-1	-2.365081787E-2	9.778715057E0	9.781300533E0
2.284661417E0	-2.191442871E-1	-2.664459229E-2	9.777367859E0	9.779859733E0
2.294637417E0	-2.209405518E-1	-2.395019531E-2	9.779613190E0	9.782137930E0
2.304613417E0	-2.216889954E-1	-3.323089600E-2	9.779014435E0	9.781583390E0
2.314589417E0	-2.213896179E-1	-3.517684937E-2	9.776918793E0	9.779488323E0
2.324566417E0	-2.206411743E-1	-3.891906738E-2	9.765991516E0	9.768561179E0
2.334543417E0	-2.291734314E-1	-3.008743286E-2	9.778116302E0	9.780847823E0
2.344520417E0	-2.155517578E-1	-2.918930054E-2	9.773475952E0	9.775896213E0
2.354496417E0	-2.221380615E-1	-3.457809448E-2	9.779014435E0	9.781598248E0
2.364471417E0	-2.177970886E-1	-3.592529297E-2	9.766889648E0	9.769383788E0
2.374448417E0	-2.293231201E-1	-3.218307495E-2	9.772727509E0	9.775470720E0
2.384424417E0	-2.257305908E-1	-3.817062378E-2	9.771080933E0	9.773762525E0
2.394401417E0	-2.251318359E-1	-2.948867798E-2	9.779613190E0	9.782248620E0
2.404377417E0	-2.290237427E-1	-2.844085693E-2	9.768087158E0	9.770813041E0
2.414354417E0	-2.347119141E-1	-2.649490356E-2	9.764644318E0	9.767500720E0
2.424330417E0	-2.351609802E-1	-2.769241333E-2	9.767937469E0	9.770807027E0
2.434306417E0	-2.290237427E-1	-3.233276367E-2	9.764494629E0	9.767233623E0
2.444282417E0	-2.333647156E-1	-2.335144043E-2	9.768985291E0	9.771800141E0
2.454258417E0	-2.338137817E-1	-3.457809448E-2	9.767937469E0	9.770796638E0
2.464235417E0	-2.303709412E-1	-2.589614868E-2	9.766889648E0	9.769640463E0
2.474212417E0	-2.372566223E-1	-3.248245239E-2	9.769284668E0	9.772219233E0
2.484188417E0	-2.339634705E-1	-3.218307495E-2	9.762698364E0	9.765554465E0
2.494165417E0	-2.284249878E-1	-3.966751099E-2	9.766889648E0	9.769640981E0
2.504142417E0	-2.267784119E-1	-3.098556519E-2	9.768835602E0	9.771516646E0
2.514119417E0	-2.321672058E-1	-3.382965088E-2	9.769284668E0	9.772101564E0
2.524095417E0	-2.272274780E-1	-3.233276367E-2	9.768536224E0	9.771232149E0
2.534072417E0	-2.317181396E-1	-2.544708252E-2	9.763297119E0	9.766079638E0
2.544049417E0	-2.303709412E-1	-3.038681030E-2	9.765692139E0	9.768456228E0
2.554026417E0	-2.297721863E-1	-2.514770508E-2	9.769883423E0	9.772617344E0
2.564002417E0	-2.249821472E-1	-2.649490356E-2	9.763895874E0	9.766523516E0
2.573979417E0	-2.335144043E-1	-3.023712158E-2	9.761201477E0	9.764041045E0
2.583956417E0	-2.312690735E-1	-2.724334717E-2	9.767338715E0	9.770114285E0
2.593932417E0	-2.257305908E-1	-2.544708252E-2	9.768835602E0	9.771476391E0
2.603908417E0	-2.261796570E-1	-3.502716064E-2	9.759405212E0	9.762088621E0
2.613884417E0	-2.230361938E-1	-2.844085693E-2	9.764045563E0	9.766634004E0
2.623861417E0	-2.234852600E-1	-3.353027344E-2	9.768236847E0	9.770850579E0
2.633837417E0	-2.179467773E-1	-3.038681030E-2	9.763297119E0	9.765776712E0
2.643813417E0	-2.270777893E-1	-3.802093506E-2	9.760303345E0	9.763018554E0
2.653790417E0	-2.258802795E-1	-3.847000122E-2	9.771380310E0	9.774066452E0
2.663766417E0	-2.231858826E-1	-2.844085693E-2	9.769883423E0	9.772473736E0
2.673743417E0	-2.216889954E-1	-2.065704346E-2	9.767937469E0	9.770474663E0
