HBM_CATMAN_DATAFILE_40

24.09.2020
17:53
CHANNELS: 2
SEPARATOR: 9
MAXLINES: 6576               

Time  1 - default sample rate CH=1	MX840A_0_CH 8 CH=11
s	mV/V
24.09.2020-17:53	24.09.2020-17:53
	
T0 =20.09.24 17:52:43	T0 =20.09.24 17:52:43
dt =3,33333325386047 ms	dt =3,33333333333333 ms
CH 0	CH 8
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)9E5004605
Not available ID=0	MX840A ID=5036
Not available ID=0	Not available ID=0
Not available ID=0	SG half bridge ID=354
x1=0 y1=0;x2=0 y2=0	x1=0 y1=0;x2=1 y2=1
         (Electr.)	mV/V     (Electr.)
         (Engin.)	mV/V     (Engin.)
0  Nominal value	5 mV/V Nominal value
Not available ID=0	Not available ID=0
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	2.5 V excitation ID=13
Filter = Not available ID=0	Filter = Bessel lowpass ID=142
fg = Not available ID=0	fg = 50 Hz ID=949
0  Zero	0,146314 mV/V Zero
0  Tare	0,146314 mV/V Tare
0  Software-Zero	0 mV/V Software-Zero
Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 0
Software scaling: None	Software scaling: None
Sensor: None	Sensor: SG halfbridge sensor
Sensor T-ID: None	Sensor T-ID: 11052004123327
Cable length correction Not available	Cable length correction Not available

0,6267	0,00101	
0,6300	0,00059	
0,6333	0,000	
0,6367	-0,00037	
0,6400	0,00040	
0,6433	0,00090	
0,6467	0,00140	
0,6500	0,00072	
0,6533	0,00030	
0,6567	-0,00028	
0,6600	0,00067	
0,6633	0,00123	
0,6667	0,00203	
0,6700	0,00081	
0,6733	0,00028	
0,6767	-0,00025	
0,6800	0,00111	
0,6833	0,00158	
0,6867	0,00242	
0,6900	0,00081	
0,6933	0,00022	
0,6967	-0,00029	
0,7000	0,00103	
0,7033	0,00148	
0,7067	0,00215	
0,7100	0,00060	
0,7133	0,000	
0,7167	-0,00046	
0,7200	0,00073	
0,7233	0,00113	
0,7267	0,00180	
0,7300	0,00010	
0,7333	-0,00023	
0,7367	-0,00052	
0,7400	0,00047	
0,7433	0,00093	
0,7467	0,00153	
0,7500	0,000	
0,7533	-0,00057	
0,7567	-0,00059	
0,7600	0,00044	
0,7633	0,00065	
0,7667	0,00124	
0,7700	-0,00031	
0,7733	-0,00070	
0,7767	-0,00051	
0,7800	0,00036	
0,7833	0,00044	
0,7867	0,00071	
0,7900	-0,00081	
0,7933	-0,00090	
0,7967	-0,00058	
0,8000	0,00028	
0,8033	0,00032	
0,8067	0,00045	
0,8100	-0,00069	
0,8133	-0,00078	
0,8167	-0,00021	
0,8200	0,00038	
0,8233	0,00038	
0,8267	0,00031	
0,8300	-0,00065	
0,8333	-0,00065	
0,8367	0,00020	
0,8400	0,00063	
0,8433	0,00048	
0,8467	0,00013	
0,8500	-0,00047	
0,8533	-0,00031	
0,8567	0,00066	
0,8600	0,00065	
0,8633	0,00054	
0,8667	0,00014	
0,8700	-0,00024	
0,8733	0,000	
0,8767	0,00125	
0,8800	0,00115	
0,8833	0,00085	
0,8867	0,00025	
0,8900	0,00013	
0,8933	0,00034	
0,8967	0,00146	
0,9000	0,00136	
0,9033	0,00105	
0,9067	0,00035	
0,9100	0,00045	
0,9133	0,00066	
0,9167	0,00188	
0,9200	0,00146	
0,9233	0,00101	
0,9267	0,00020	
0,9300	0,00067	
0,9333	0,00073	
0,9367	0,00172	
0,9400	0,00127	
0,9433	0,00095	
0,9467	0,00014	
0,9500	0,00060	
0,9533	0,00074	
0,9567	0,00150	
0,9600	0,00109	
0,9633	0,00080	
0,9667	0,00010	
0,9700	0,00060	
0,9733	0,00064	
0,9767	0,00132	
0,9800	0,00109	
0,9833	0,00060	
0,9867	0,000	
0,9900	0,00032	
0,9933	0,00017	
0,9967	0,00064	
1,000	0,00054	
1,003	0,00031	
1,007	-0,00020	
1,010	0,000	
1,013	-0,00015	
1,017	0,00010	
1,020	0,000	
1,023	0,000	
1,027	-0,00046	
1,030	-0,00036	
1,033	-0,00037	
1,037	-0,00021	
1,040	-0,00030	
1,043	-0,00021	
1,047	-0,00027	
1,050	-0,00025	
1,053	-0,00056	
1,057	-0,00066	
1,060	-0,00011	
1,063	0,000	
1,067	0,00017	
1,070	0,000	
1,073	-0,00048	
1,077	-0,00077	
1,080	-0,00033	
1,083	0,000	
1,087	0,00015	
1,090	-0,00011	
1,093	-0,00036	
1,097	-0,00095	
1,100	0,000	
1,103	0,00034	
1,107	0,00099	
1,110	0,00025	
1,113	-0,00013	
1,117	-0,00061	
1,120	0,00027	
1,123	0,00072	
1,127	0,00150	
1,130	0,00051	
1,133	0,000	
1,137	-0,00049	
1,140	0,00073	
1,143	0,00107	
1,147	0,00184	
1,150	0,00072	
1,153	0,00022	
1,157	-0,00050	
1,160	0,00072	
1,163	0,00139	
1,167	0,00222	
1,170	0,00091	
1,173	0,00035	
1,177	-0,00044	
1,180	0,00120	
1,183	0,00151	
1,187	0,00237	
1,190	0,00067	
1,193	0,00025	
1,197	-0,00024	
1,200	0,00115	
1,203	0,00143	
1,207	0,00212	
1,210	0,00057	
1,213	0,00015	
1,217	-0,00013	
1,220	0,00104	
1,223	0,00130	
1,227	0,00174	
1,230	0,00013	
1,233	0,000	
1,237	-0,00026	
1,240	0,00081	
